id;cardType;alignment;name;rarity;text;flavourText;illustrator;edition
16;Operation;Corporation;Off-Site Backups;uncommon;Bring any card from the Archives into HQ.;Data saved is eurobucks earned.;Zak Plucinski;Limited
17;Operation;Corporation;Overtime Incentives;uncommon;Gain two actions.;Hey, the door is stuck.;Zak Plucinski;Limited
18;Operation;Corporation;Planning Consultants;common;Look at the top five cards of R&D and arrange them in any order you choose.;Chance favors the prepared mind. - Sir Isaac Newton;Christina Wald;Limited
19;Operation;Corporation;Power Grid Overload;uncommon;Play only if Runner is tagged. Trash X pieces of hardware, other than cybernetics.;;Randy Gallegos;Limited
20;Operation;Corporation;Project Consultants;uncommon;Add four advancement counters to any combination of installed cards that can be advanced.;;Mike Raabe;Limited
21;Operation;Corporation;Punitive Counterstrike;uncommon;Play only if Runner is tagged. Do 2 meat damage.;Violence isn't always the best approached but it's often the most direct. - Anonymous WuTech VP;Dave Pilurs;Limited
22;Operation;Corporation;Scorched Earth;uncommon;Play only if Runner is tagged. Do 4 meat damage.;;Greg Staples;Limited
23;Operation;Corporation;Silver Lining Recovery Protocol;rare;If any agendas were stolen during Runner's last turn, gain bits equal to three times the number of advancement counters those agendas had.;;Jonnie Wilder;Limited
24;Operation;Corporation;Systematic Layoffs;common;Add two advancement counters to any combination of installed cards that can be advanced.;Yes, but what have you done for us this week?;Zak Plucinski;Limited
25;Operation;Corporation;Team Restructuring;uncommon;Add one advancement counter to each of up to two installed cards that can be advanced.;Executive ability is deciding quickly and getting somebody else to do the work.;Craig Gilmore;Limited
26;Operation;Corporation;Trojan Horse;common;Play only if Runner stole any agendas during his or her last turn. Give Runner a tag.;The high-tech equivalent of a teller slipping a paint bomb into a money bag.;Mike Kimble;Limited
27;Operation;Corporation;Urban Renewal;common;Play only if Runner is tagged. Do 5 meat damage.;The paper work has been clearly posted in the basement closet of City Hall since last Thursday.;Doug Chaffee;Limited
28;Upgrade;Corporation;Aardvark;rare;Runner cannot use worms during runs on this fort. If Runner uses a worm during a run on this fort before Aardvark is rezzed, you may rez Aardvark to trash that worm, and any bits spent using that worm on the current piece of ice are lost to no effect. Runner may then use further icebreakers to break the ice.;;Fellwalker & Tolen;Limited
29;Upgrade;Corporation;Antiquated Interface Routines;uncommon;All ice on this fort has +1 strength;;Mark Collen;Limited
30;Upgrade;Corporation;Bizzarre Encryption Scheme;uncommon;Runner does not score any agenda (or agendas) on a run during which Bizarre Encryption Scheme is accessed; return that agenda to the fort instead. Runner scores the agenda at the start of his or her next turn if neither you nor Runner has scored it by then. This does not affect any further runs.;Mark Collen;Limited
31;Upgrade;Corporation;Chester Mix;rare;Cost to install ice on this fort is reduced by ➋.;Of course, he subscribes to the Platonic-solids school of ice-rendering, but he is cheap.;Lawrence Snelly;Limited
32;Upgrade;Corporation;Chimera;rare;When Runner accesses Chimera, trash a daemon.;Watch this. She likes to play with it before she trashes it.;Larry Friedman;Limited
33;Upgrade;Corporation;Crybaby;rare;When Runner accesses Crybaby, give Runner a Crying counter. Each Crying counter reduces Runner's link by 2 during each trace attempt. Runner can remove a Crying counter by taking an action to pay ➋.;;Kim Francisco;Limited
34;Upgrade;Corporation;Crystal Palace Station Grid;uncommon;Runner must pay ➊, in addition to the normal cost, to break each subroutine of each piece of ice encountered during runs on this fort.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;;R. Talsorian Games Staff;Limited
35;Upgrade;Corporation;Dedicated Response Team;uncommon;When Runner accesses Dedicated Response Team, it does 3 meat damage. Ignore this effect unless Runner is tagged.;Excuse me - that's my beeper.;Pete Venters;Limited
36;Upgrade;Corporation;Dieter Esslin;rare;When Runner accesses Dieter Esslin, Dieter does 1 Net damage.;Y'know, sometimes it worries me how much he enjoys his job.;Matt Wilson;Limited
37;Upgrade;Corporation;Dr. Dreff;uncommon;Whenever Runner makes a successful run on this fort, you may choose an ice card stored in HQ. Pay half of that card's rez cost, rounded down, to force Runner to encounter it; the run is not considered successful unless Runner passes that piece of ice. Trash that ice after the encounter ends. Use this ability only once during each run on this fort.;Doug Chaffee;Limited
38;Upgrade;Corporation;Jenny Jett;rare;Whenever Runner makes a successful run on this fort, you may choose an ice card stored in HQ. Install that piece of ice on this fort in the innermost position, paying an installation cost of ➊ for each piece of ice already on the fort. Runner is now considered to be approaching that piece of ice. Use this ability only once during each run on this fort.;;Lawrence Snelly;Limited
39;Upgrade;Corporation;Jerusalem City Grid;rare;Cost to rez walls on this fort is reduced by ➋. All walls on this fort have +1 strength.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;;Chris Vande Voort;Limited
40;Upgrade;Corporation;Namatoki Plaza;uncommon;Rez Namatoki Plaza when you install it. Install Namatoki Plaza only if you can pay to rez it. Install only inside a subsidiary data fort. That fort may have an additional agenda or node installed inside it. If Namatoki Plaza leaves play while installed, and this results in the fort having too many agendas and nodes installed inside it, trash one of those agendas or nodes.;;Chris Vande Voort;Limited
41;Upgrade;Corporation;New Galveston City Grid;rare;All nodes and other upgrades installed inside this fort cost ➋, to trash, in addition to the normal cost.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;;Craig Hooper;Limited
42;Upgrade;Corporation;Olivia Salazar;uncommon;For half cost, rounded down, rez a piece of ice installed on this fort. Derez that ice at the end of the run. Use this ability only once during each run on this fort.;;Randy Gallegos;Limited
43;Upgrade;Corporation;Omni Kismet Ph.D;rare;Swap a piece of unrezzed ice on this fort with an ice card stored in HQ. The new ice card comes into play concealed. Use this ability only once during each run on this fort.;What the...?! That wasn't in the plans! - Epitaph;Doug Shuler;Limited
44;Upgrade;Corporation;Paris City Grid;uncommon;Put ➌ from the bank on Paris City Grid when you rez it. Use these bits only to pay for traces made during runs on this fort. If you use any of these bits, replace them at the start of your next turn.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;;Mark Tedin;Limited
45;Upgrade;Corporation;Red Herrings;uncommon;Runner must pay ➎, in addition to any other costs, to steal agendas accessed from this fort, even on the run during which Runner trashes Red Herrings.;Frack! It's easier to find things on my floor than in this mess.;Mark Collen;Limited
46;Upgrade;Corporation;Rio de Janeiro City Grid;uncommon;Roll a die whenever Runner passes a piece of rezzed ice during a run on this fort. On a 1, end the run.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;There's a new jungle in Brazil - the rusted-wire maze of telecom retrotech. Prepare to have your line dropped, and ...;Pete Venters;Limited
47;Upgrade;Corporation;Roving Submarine;rare;Install only inside a subsidiary data fort. This fort may be run only if you installed or advanced a card inside or on this fort during your last turn.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;;Doug Chaffee;Limited
48;Upgrade;Corporation;Singapore City Grid;rare;Swap a piece of unrezzed ice on this fort with an ice card stored in HQ. The new ice card comes into play concealed. Use this ability only once during each run on this fort.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;;Mike Kimble;Limited
49;Upgrade;Corporation;Tesseract Fort Construction;rare;All ice on this fort has an additional subroutine, *End the run unless Runner pays ➊, after all other subroutines.;So are you upside down or am I?nDepends on how you look at it.;Mark Tedin;Limited
50;Upgrade;Corporation;Tokyo-Chiba Infighting;rare;Gain ➋ after each unsuccessful run on this fort.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;;Mark Collen;Limited
51;Upgrade;Corporation;Turbeau Delacroix;uncommon;Trace10 - If trace is successful, give Runner a tag. Use this ability only when Runner accesses Turbeau Delacroix, and only once during each run on this fort.;;Roger Coad;Limited
52;Upgrade;Corporation;Twenty-Four-Hour Surveillance;rare;During runs on this fort, Runner cannot use bits from stealth sources.;;Randy Gallegos;Limited
53;Upgrade;Corporation;Washington D.C. City Grid;rare;The difficulty of agendas installed inside this fort is reduced by 1.nRez a region when you install it. Install a region only if you can pay to rez it. Only one region may be installed in each fort. Trash older ones.;;Chris Vande Voort;Limited
54;Node;Corporation;ACME Savings and Loan;uncommon;Rezzing ACME S&L costs 1 agenda point, in addition to the normal cost. When you rez ACME S&L, gain [12] and trash ACME S&L. For the remainder of the game, pay ➊ at the end of each of your turns, or lose the game. You can remove this effect, and score 1 agenda point, by taking an action to pay [12].;;Ramon Mascarenas;Limited
55;Node;Corporation;BBS Whispering Campaign;common;Advertisment;Put [16] from the bank on BBS Whispering Campaign when you rez it. When all the bits have been removed, trash BBS Whispering Campaign.nA: Take ➋ from BBS Whispering Campaign.;Kevin Taylor;Limited
56;Node;Corporation;Blood Cat;rare;A: Trace5 - If trace is successful, give Runner a tag.;These break-ins are unacceptable. Put the Cat on him. I want this character tagged so tight we know when he sheds a hair!;Larry Friedman;Limited
57;Node;Corporation;Braindance Campaign;common;Put [12] from the bank on Braindance Campaign when you rez it. Take ➋ from Braindance Campaign at the start of each of your turns. When all the bits have been removed, trash Braindance Campaign.;So it's a subliminal. What they don't know won't hurt them.;Heather Hudson;Limited
58;Node;Corporation;Chicago Branch;uncommon;A, ➌: Add two advancement counters to an installed card that can be advanced.;;Anthony Petrarca;Limited
59;Node;Corporation;City Surveillance;rare;For each card Runner draws, give Runner a tag unless Runner pays ➊, in addition to any other costs, to avoid receiving that tag. You may rez City Surveillance just before the card is drawn.;;Sue Ann Harkey;Limited
60;Node;Corporation;Corporate Negotiating Center;rare;At the start of each of your turns, gain ➊ for each agenda card stored in HQ that you show to Runner.;That which does not get me fired makes me more valuable to the corporation. - Dave Michaels, Microtech Special Ops;Roger Coad;Limited
61;Node;Corporation;Corprunner's Shattered Remains;uncommon;You may advance Shattered Remains before and after you rez it. When Runner accesses Shattered Remains, it destroys one piece of hardware for each advancement counter on it.;It's not that I like screwing you up. It's just that they got me wired so I feel the routines like bugs on my neck, so believe it, brother - I'm gonna swat!;Mark Collen;Limited
62;Node;Corporation;Cowboy Sysop;uncommon;A: Choose one of your installed cards to be uninstalled. Store it in HQ.;;Mark Tedin;Limited
63;Node;Corporation;Data Masons;rare;Cost to rez walls is reduced by ➋. All walls have +1 strength.;An eye on top of a pyramid'? No, that's not our Net logo. You must have us confused with another outfit.;Sue Ann Harkey;Limited
64;Node;Corporation;Department of Truth Enhancment;uncommon;A: Put ➌ from the bank on Department of Truth Enhancement.nA: Take all the bits from Department of Truth Enhancement.;We don't lie. We use statistics. - Scott H. Warner, Department Coordinator;Matt Wilson;Limited
65;Node;Corporation;Disinfectant Inc.;rare;You may pay ➊ to avoid receiving a Virus counter. Use this ability only once each turn.;;Rob Dixon;Limited
66;Node;Corporation;Encoder Inc.;rare;Cost to rez code gates is reduced by ➊. All code gates have an additional subroutine, *End the run, after all other subroutines.;;Todd Wade;Limited
67;Node;Corporation;ESA Contract;uncommon;A: Draw two cards.;You know that orange toothpaste that suppresses your appetite? Yup, that came out of the space program too.;Ramon Mascarenas;Limited
68;Node;Corporation;Euromarket Consortium;uncommon;Hand size +2nA, ➊: Draw two cards.;;Doug Chaffee;Limited
69;Node;Corporation;Experimental AI;uncommon;You may advance Experimental AI before and after you rez it. When Runner accesses Experimental AI, it destroys one program for each advancement counter on it.;;Mike Kimble;Limited
70;Node;Corporation;Fortress Architects;rare;Cost to install ice is reduced by ➊.;You want us to build that? Not even God has the money to afford that!nYou're working for Saburo Arasaka, not God.;Fellwalker & Tolen;Limited
71;Node;Corporation;Hacker Tracker Central;uncommon;After each trace attempt, whether successful or not, put ➊ from the bank on Hacker Tracker Central. During a trace attempt, each bit you spend from Hacker Tracker Central increases by 1 both your trace strength and your trace limit.;;Robert McLees;Limited
72;Node;Corporation;Holovid Campaing;common;Put [12] from the bank on Holovid Campaign when you rez it.Take ➊ from Holovid Campaign at the start of each of your turns. When all the bits have been removed, trash Holovid Campaign.;;Zak Plucinski;Limited
73;Node;Corporation;I Got a Rock;rare;A, 3 Agenda points: Do 15 meat damage to Runner. Use this ability only if Runner has two or more tags.;;Richard Thomas;Limited
74;Node;Corporation;Information Laundering;uncommon;You may advance Information Laundering before and after you rez it.nA, T: Gain ➍ for each advancement counter on Information Laundering.;Information wants to be clean;Mike Kimble;Limited
75;Node;Corporation;Investment Firm;uncommon;Take ➊ from Investment Firm, if it has any bits, at the start of each of your turns. Whenever ➊ or more bits are added to your pool, you may put ➋ from the bank on Investment Firm for each ➊ you choose not to add to your pool. Effects that give you bits at the start of your turn cannot be used this way.;;Anthony Petrarca;Limited
76;Node;Corporation;Krumz;rare;Put ➊ from the bank on Krumz when you rez it. Use this bit only to pay for traces. If you use this bit, replace it at the start of your next turn.;;Mark Collen;Limited
77;Node;Corporation;Nevinyrral;rare;Gain an action during each of your turns. If Nevinyrral leaves play while rezzed, you lose the game.nOnly one unique card of a particular name can be in play at a time. If for some reason more than one is in play, trash all but one.;;Maria P. Cabardo;Limited
78;Node;Corporation;Newsgroup Tauting;uncommon;At the start of each run, Runner must pay ➊, in addition to any other costs, or end the run.;;Kevin Taylor;Limited
79;Node;Corporation;Omniscience Foundation;uncommon;Give Runner a tag at the end of each turn during which Runner received a tag.;;Rob Dixon;Limited
80;Node;Corporation;Pacifica Regional AI;rare;You may advance Pacifica Regional AI before and after you rez it.nRegional AI advancement counter: Gain an action.;;Chris Vande Voort;Limited
81;Node;Corporation;Remote Facility;uncommon;Gain an action during each of your turns.;While moving corporate Kartes to a remote location increases processing costs, it becomes easier to defend vital information against attempts at hostile acquisition. - David Samms, corporate consultant;Chris Vande Voort;Limited
82;Node;Corporation;Rescheduler;uncommon;A: Note the number of cards stored in HQ. Shuffle those cards into R&D, and then draw that many cards.;;Mike Kimble;Limited
83;Node;Corporation;Rockerboy Promotion;common;Put [15] from the bank on Rockerboy Promotion when you rez it. When all the bits have been removed, trash Rockerboy Promotion.nA: Take ➌ from Rockerboy Promotion.;;John Ramirez;Limited
84;Node;Corporation;Rustbelt HQ Branch;uncommon;Hand size +2;Systems are heavily monitored, and computer crime treated with draconian ferocity.' Sounds like Heaven.;Anthony Petrarca;Limited
85;Node;Corporation;Schlaghund;rare;A: Roll a die. If you roll less than or equal to the number of tags Runner has, Schlaghund does 10 meat damage and you trash Schlaghund.;Remember when your mother told you not to pet strange dogs? That's advice to live by.;L.A. Williams;Limited
86;Node;Corporation;Setup!;common;When Runner accesses Setup!, it does 2 Net damage, even if it is not installed. Ignore this effect if Runner accesses it from the Archives. If Setup! is accessed from R&D, Runner must show it to you.;;Norm Dwyer;Limited
87;Node;Corporation;Sk®lderviken SA Beta Test Site;rare;Cost to rez black ice is reduced by ➋.;When you rez this, it's very important that you have its administrator be there for it to imprint on him.;Chris Vande Voort;Limited
88;Node;Corporation;Solo Squad;uncommon;A: Do 1 meat damage. Use this ability only if Runner is tagged.;We don't break kneecaps. We derm the perps with mushroom derivative. It's more fun, more humane ... and much more devastating to their fine reflexes and thus their careers.;Ernie Chan;Limited
89;Node;Corporation;Sout African Mining Corp;uncommon;A,A,A: Gain ➏.;;Todd Wade;Limited
90;Node;Corporation;Spinn® Public Relations;common;Take ➊ from Spinn® Public Relations, if it has any bits, at the start of each of your turns. A: Put ➌ from the bank on Spinn® Public Relations.;Of course it's true! I saw it on the 'vid.;Todd Wade;Limited
91;Node;Corporation;TRAP!;uncommon;If you pay ➍ when Runner accesses TRAP!, it does 3 Net damage and gives Runner a tag, even if TRAP! is not installed. Ignore this effect if Runner accesses it from the Archives. If TRAP! is accessed from R&D, Runner must show it to you.;;Mark Collen;Limited
92;Node;Corporation;Vacant Soulkiller;uncommon;You may advance Vacant Soulkiller before and after you rez it.When Runner accesses Vacant Soulkiller, it does 1 brain damage for each advancement counter on it.;The original Soulkiller started as a matrix to contain artificial personalities, but Arasaka forced the original engineer to enhance the design for its own purpose.;Larry Friedman;Limited
93;Node;Corporation;Vapor Ops;uncommon;You may advance Vapor Ops before and after you rez it.nVapor Ops advancement counter: Gain ➊.nA: Move any number of advance- ment counters from Vapor Ops to another installed card that can be advanced.;;Craig Hooper;Limited
94;Node;Corporation;Virus Test Site;uncommon;You may advance Virus Test Site before and after you rez it. When Runner accesses Test Site, it does 2 Net damage per advancement counter on it, or 1 Net damage if it has no counters, even if it is not installed or rezzed. Ignore this effect if Runner accesses it from the Archives. If Test Site is accessed from R&D, Runner must show it to you.;;Mark Collen;Limited
95;Agenda;Corporation;AI Chief Financial Officer;rare;A: Shuffle cards stored in HQ and the Archives into R&D.then draw five cards.;I think it's 'preferred' stock because their AI financial adviser prefers not to risk changing the board of directors!;Pete Venters;Limited
96;Agenda;Corporation;Artificial Security Directors;rare;Difficulty of Black Ops agendas is reduced by 1.;We noticed a while ado that security directors developing cyberpsychosis - becoming less and less human - increased the effectiveness of our Black Ops dramatically. Unfortunately, they quickly became too unstable to be useful. This new program should solve all these problems, and more. - Erin Devlin, WuTech COO;Fellwalker & Tolen;Limited
97;Agenda;Corporation;Bioweapons Engineering;rare;Each source of meat damage inflicts +1 meat damage.;;Doug Chaffee;Limited
98;Agenda;Corporation;Black Ice Quality Assurance;rare;All black ice has +2strength.;;James Allen Higgins;Limited
99;Agenda;Corporation;Corporate Boon;vital;Put four Boon counters on Corporate Boon when you score it. Boon counter: Gain an action. Use this ability only once per turn and only during your turn.;;Mike Kible;Limited
100;Agenda;Corporation;Corporate Coup;vital;Put [15] from the bank on Corporate Coup when you score it. A: Take ➌ from Corporate Coup, if it has any bits.;Here a new style of crime became manifest: death as administrative action. - Horst Kruger;Dave Pillurs;Limited
101;Agenda;Corporation;Corporate Downsizing;vital;When you score Corporate Downsizing, show to Runner any number of agenda cards stored in HQ. Gain bits equal to twice the combined agenda points of these cards.then shuffle them into R&D.;Rightsizing.' The word is 'rightsizing.';James Allen Higgins;Limited
102;Agenda;Corporation;Corporate Retreat;vital;You lose the following ability as soon as you rez or install any card.nA: Gain ➋.;Hard work has a future payoff. Laziness pays off now.;Doug Keith;Limited
103;Agenda;Corporation;Corporate War;vital;If you have [12] or more bits in your pool when you score Corporate War, gain [12].otherwise, lose all bits.;The greatest casualty of the early corporate wars was the middle class.;Greg Staples;Limited
104;Agenda;Corporation;Data Fort Reclamation;vital;Gain ➓ and choose up to four cards stored in HQ when you score Data Fort Reclamation. Create a new data fort using the cards chosen. Install the cards one at a time; you may rez them when you install them. Then, return to the bank any of the ➓ not spent.;Jonnie Wilder;Limited
105;Agenda;Corporation;Detroit Police Contract;vital;Put [12] from the bank on Detroit Police Contract when you score it. Take ➋ from Detroit Police Contract, if it has any bits, at the start of each of your turns.;Corporate security forces are infamous for employing lethal force as a means of reducing overhead.;Doug Chaffee;Limited
106;Agenda;Corporation;Employee Empowerment;vital;You may choose to draw an additional card at the start of each of your turns.nA: Draw two cards.;Be glad you don't get all the management the company pays for.;Dan Frazier;Limited
107;Agenda;Corporation;Encryption Breakthrough;rare;All code gates have +1 strength. When you score Encryption Breakthrough, reveal as many code gates as you wish. Then, gain ➊ for each revealed or rezzed code gate.;;Kim Francisco;Limited
108;Agenda;Corporation;Executive Extraction;rare;Difficulty of Gray Ops agendas is reduced by 1.;Sometimes an executive gets tired of waiting for doors to open within her organization, so she asks a rival corp to open the wall for her instead.;Dan Frazier;Limited
109;Agenda;Corporation;Genetics-Visionary Acquisition;rare;Difficulty of Research agendas is reduced by 1.;The more valuable you are to the corporation, the harder they fight to keep you: witness these casualty figures.;Doug Shuler;Limited
110;Agenda;Corporation;Hostile Takeover;vital;Gain ➎ when you score Hostile Takeover.;Tell the Director I'm sorry, but I can't seem to find any reference to 'intact' in the mercenaries' contract.;Doug Shuler;Limited
111;Agenda;Corporation;Ice Transmutation;vital;Choose a piece of rezzed ice when you score Ice Transmutation. That ice now has +1 strength, and each subroutine on it is repeated once. Treat this as if each repeated subroutine appeared immediately after the original subroutine.;;T. Brian Wagner;Limited
112;Agenda;Corporation;Main-Office Relocation;vital;Hand size +2;Corporate relocation efforts have become a much riskier proposition since the advert of the corporate war. Often, a corp's security teams will have to arrange armored convoys to prevent thefts.;Michael Kimble;Limited
113;Agenda;Corporation;Marine Arcology;vital;A,A: Gain ➌.;We could have accepted that bid, but in Nipponese wet real estate there're ultimately two kinds of construction: tsunami spec ... and bait bucket.;Ernie Chan;Limited
114;Agenda;Corporation;Netwatch Kartes Office;vital;A: Trace2 - If trace is successful, give Runner a tag.;These Netwatch goons are okay, but I'm thinking we should have started own police program instead.;Christina Wald;Limited
115;Agenda;Corporation;On-Call Solo Team;vital;A: Do 1 meat damage. Use this ability only if Runner is tagged.;Corporate solo teams operate much like government death squads, with the primary difference being that solo teams aren't clumsy enough to let themselves be exposed.;Matt Wilson;Limited
116;Agenda;Corporation;Political Coup;vital;Put [12] from the bank on Political Coup when you score it.nA: Take ➌ from Political Coup, if it has any bits.;Assassination is the extreme form of censorship. - George Bernard Shaw, The Rejected Statement;Ernie Chan;Limited
117;Agenda;Corporation;Political Overthrow;rare;A: Gain ➌.;You know, these small island countries are becoming less and less of a challenge.;Doug Chaffee;Limited
118;Agenda;Corporation;Polymer Breakthrough;vital;Gain ➊ at the start of each of your turns.;;Kevin Taylor;Limited
119;Agenda;Corporation;Priority Requisition;vital;You may rez a piece of ice, at no cost, when you score Priority Requisition.;I just gave the big guy a rundown of last month's security breaches, and bingo! we've got a new budget.;Kevin Stein;Limited
120;Agenda;Corporation;Private Cybernet Police;vital;A: Trace5 - If trace is successful, give Runner a tag.;Seen a pink panda about yay high come through this BBS lately? No? Well, here's my hypercard anyway.if you notice anything unusual, just drop me a line.;Brian Booker;Limited
121;Agenda;Corporation;Project Babylon;vital;Score 1 additional agenda point for every two advancement counters over Project Babylon's difficulty that are on Project Babylon when you score it.;;Greg Staples;Limited
122;Agenda;Corporation;Security Net Optimization;vital;Choose a fort when you score Security Net Optimization. That fort gives all ice installed on it +1 strength.;Obsolete? Karte it ... yesterday.;Chris Vande Voort;Limited
123;Agenda;Corporation;Security Purge;rare;Show the top three cards of R&D to Runner when you score Security Purge. If any of those cards are ice, install and rez them, at no cost. Trash the rest of those cards.;;Ramon Mascarenas;Limited
124;Agenda;Corporation;Strike Force Kali;rare;A: Do 2 meat damage. Use this ability only if Runner is tagged.;What's it mean? Kali's a hellacious goddess of destruction with multiple hands - you figure it out.;Richard Thomas;Limited
125;Agenda;Corporation;Subsidiary Branch;vital;Gain an action during each of your turns.;"It's an off-site location for our creative talent;we call it 'the bomb shelter from bureaucracy.'";Anthony Petrarca;Limited
126;Agenda;Corporation;Superior Net Barriers;rare;All walls have +1 strength. When you score Superior Net Barriers, reveal as many walls as you wish. Then, gain ➊ for each revealed or rezzed wall.;;Ramon Mascarenas;Limited
127;Agenda;Corporation;Tycho Extension;vital;;Of course I fired him for playing games on duty! We can't have our sysops idling on the job. Remember the last time a corporation tried to extend the colony? A runner edited the blueprints, and the airlock system failed. Some asteroid miners spotted the bodies floating by 'bout a month ago.;Lawrence Brown;Limited
128;Ice;Corporation;Asp;common;*Trace5 - If trace is successful, end the run, and Runner cannot run again until Runner takes an action to pay ➊.;Oh how sharper than a serpent's tooth is one of these suckers clamped onto the boot sector of a drive!;Mark Pooler;Limited
129;Ice;Corporation;Ball and Chain;uncommon;*For the remainder of the run, Runner must pay ➋ when encountering a piece of ice, in addition to any other costs, or end the run.;;Robert McLees;Limited
130;Ice;Corporation;Banpei;common;*Trash a program.n*End the run.;The survival of Bushido into cyberspace has spiritual significance to many execs.;Doug Shuler;Limited
131;Ice;Corporation;Bolter Cluster;common;*Do 4 Net damage.n*Runner cannot break any subroutines of the next piece of ice encountered during the run.;;Norm Dwyer;Limited
132;Ice;Corporation;Canis Major;uncommon;*For the remainder of the run, all further ice is encountered at +2 strength.;;Ash Arnett;Limited
133;Ice;Corporation;Canis Minor;uncommon;*For the remainder of the run, all further ice is encountered at +1 strength.;;Mark Collen;Limited
134;Ice;Corporation;Cerberus;common;*Do 3 Net damage.n*Trace5 - If trace is successful, give Runner a Cerberus counter. Each Cerberus counter does 2 Net damage at the start of each run. Runner may remove a Cerberus counter by taking an action to spend ➍.n*End the run.;;Robert McLees;Limited
135;Ice;Corporation;Cinderella;uncommon;*Trace6 - If trace is successful, end the run, trash a piece of hardware, and do 2 meat damage. This damage cannot be prevented.;;Kaja Foglio;Limited
136;Ice;Corporation;Code Corpse;uncommon;*Do 1 brain damage.n*do 1 brain damage.;Nothing turns a wannabe into a coulda-been faster then rewriting the forebrain from the inside out.;Brian Booker;Limited
137;Ice;Corporation;Cortical Scanner;rare;*End the run.n*End the run.n*End the run.;Your brain's the key.;Robert McLees;Limited
138;Ice;Corporation;Cortical Scrub;common;*Do 1 brain damage.n*End the run.;Sounds nice and hygienic, eh?;Mark Tedin;Limited
139;Ice;Corporation;Crystal Wall;common;*End the run.;Yeah, the 'crystal' stuff is about as thick as walls get. But that just means the crunching noise are that much more gratifying when I hammer through it. - Kiyote;John Casebeer;Limited
140;Ice;Corporation;D'Arc Knight;common;*Trash a program.n*End the run.;Do your worst, churl! I do not fear your best killers, your fastest evasion programs, your canniest AI routines. All of these I will face and defeat.;Doug Shuler;Limited
141;Ice;Corporation;Data Darts;uncommon;*Do 3 Net damage.n*Runner cannot break any subroutines of the next piece of ice encountered during the run.;;robert McLees;Limited
